season,round,url,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,sainz,2,3,53,0,5,157,2,1,177.78199999999998,27
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,max_verstappen,3,1,85,3,2,151,3,2,266.773,24
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,perez,4,4,66,0,3,151,3,2,355.80899999999997,32
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,bottas,5,7,30,0,8,31,0,5,445.284,32
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,hamilton,6,6,36,0,6,95,0,3,534.909,37
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,gasly,7,18,6,0,13,16,0,7,624.5989999999999,26
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,norris,8,19,35,0,7,46,0,4,714.3489999999999,22
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,tsunoda,9,12,10,0,12,16,0,7,804.281,21
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,alonso,11,11,2,0,16,26,0,6,894.441,40
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,russell,12,5,59,0,4,95,0,3,984.614,24
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,ricciardo,14,13,11,0,11,46,0,4,1074.924,32
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,mick_schumacher,15,15,0,0,19,15,0,8,1165.347,23
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,kevin_magnussen,16,16,15,0,10,15,0,8,1256.322,29
