season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium
2023,8,villeneuve,piastri,2001-04-06,Australian,mclaren,8,5703449,Finished,0,11
2023,8,villeneuve,gasly,1996-02-07,French,alpine,15,5703597,Finished,0,12
2023,8,villeneuve,norris,1999-11-13,British,mclaren,7,5706711,Finished,0,13
2023,8,villeneuve,tsunoda,2000-05-11,Japanese,alphatauri,19,5711771,Finished,0,14
2023,8,villeneuve,hulkenberg,1987-08-19,German,haas,5,,+1 Lap,0,15
2023,8,villeneuve,zhou,1999-05-30,Chinese,alfa,20,,+1 Lap,0,16
2023,8,villeneuve,kevin_magnussen,1992-10-05,Danish,haas,13,,+1 Lap,0,17
2023,8,villeneuve,de_vries,1995-02-06,Dutch,alphatauri,17,,+1 Lap,0,18
2023,8,villeneuve,russell,1998-02-15,British,mercedes,4,,Brakes,0,19
2023,8,villeneuve,sargeant,2000-12-31,American,williams,18,,Engine,0,20
