season,round,circuit_id,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
2011,10,nurburgring,not found,0,0,0,0,0
2011,11,hungaroring,not found,0,0,0,0,0
2011,12,spa,not found,0,0,0,0,0
2011,13,monza,not found,0,0,0,0,0
2011,14,marina_bay,not found,0,0,0,0,0
2011,15,suzuka,not found,0,0,0,0,0
2011,16,yeongam,not found,0,0,0,0,0
2011,17,buddh,not found,0,0,0,0,0
2011,18,yas_marina,not found,0,0,0,0,0
2011,19,interlagos,not found,0,0,0,0,0
2012,1,albert_park,not found,0,0,0,0,0
2012,2,sepang,not found,0,0,0,0,0
2012,3,shanghai,not found,0,0,0,0,0
2012,4,bahrain,not found,0,0,0,0,0
2012,5,catalunya,not found,0,0,0,0,0
2012,6,monaco,not found,0,0,0,0,0
2012,7,villeneuve,not found,0,0,0,0,0
2012,8,valencia,not found,0,0,0,0,0
2012,9,silverstone,not found,0,0,0,0,0
2012,10,hockenheimring,not found,0,0,0,0,0
2012,11,hungaroring,not found,0,0,0,0,0
2012,12,spa,not found,0,0,0,0,0
2012,13,monza,not found,0,0,0,0,0
2012,14,marina_bay,not found,0,0,0,0,0
2012,15,suzuka,not found,0,0,0,0,0
2012,16,yeongam,not found,0,0,0,0,0
2012,17,buddh,not found,0,0,0,0,0
2012,18,yas_marina,not found,0,0,0,0,0
2012,19,americas,not found,0,0,0,0,0
2012,20,interlagos,not found,0,0,0,0,0
2013,1,albert_park,not found,0,0,0,0,0
2013,2,sepang,not found,0,0,0,0,0
2013,3,shanghai,not found,0,0,0,0,0
2013,4,bahrain,not found,0,0,0,0,0
2013,5,catalunya,not found,0,0,0,0,0
2013,6,monaco,not found,0,0,0,0,0
2013,7,villeneuve,not found,0,0,0,0,0
2013,8,silverstone,not found,0,0,0,0,0
2013,9,nurburgring,not found,0,0,0,0,0
2013,10,hungaroring,not found,0,0,0,0,0
2013,11,spa,not found,0,0,0,0,0
2013,12,monza,not found,0,0,0,0,0
2013,13,marina_bay,not found,0,0,0,0,0
2013,14,yeongam,not found,0,0,0,0,0
2013,15,suzuka,not found,0,0,0,0,0
2013,16,buddh,not found,0,0,0,0,0
2013,17,yas_marina,not found,0,0,0,0,0
2013,18,americas,not found,0,0,0,0,0
2013,19,interlagos,not found,0,0,0,0,0
2014,1,albert_park,not found,0,0,0,0,0
2014,2,sepang,not found,0,0,0,0,0
2014,3,bahrain,not found,0,0,0,0,0
2014,4,shanghai,not found,0,0,0,0,0
2014,5,catalunya,not found,0,0,0,0,0
2014,6,monaco,not found,0,0,0,0,0
2014,7,villeneuve,not found,0,0,0,0,0
2014,8,red_bull_ring,not found,0,0,0,0,0
2014,9,silverstone,not found,0,0,0,0,0
2014,10,hockenheimring,not found,0,0,0,0,0
2014,11,hungaroring,not found,0,0,0,0,0
2014,12,spa,not found,0,0,0,0,0
2014,13,monza,not found,0,0,0,0,0
2014,14,marina_bay,not found,0,0,0,0,0
2014,15,suzuka,not found,0,0,0,0,0
2014,16,sochi,not found,0,0,0,0,0
